"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2025","3,856.78","3,707.84","3,868.38","3,644.69","0.02K","4.02%"
"01-12-2024","3,707.84","3,811.45","3,860.76","3,668.17","0.02K","-2.68%"
"01-11-2024","3,810.14","3,649.45","3,816.21","3,643.06","0.01K","4.47%"
"01-10-2024","3,647.14","3,721.38","3,758.62","3,647.14","","-2.04%"
"01-09-2024","3,723.03","3,660.03","3,739.31","3,505.75","","1.69%"
"01-08-2024","3,661.24","3,571.82","3,661.24","3,313.57","","2.51%"
"01-07-2024","3,571.57","3,513.68","3,649.18","3,481.11","","1.70%"
"01-06-2024","3,511.78","3,446.93","3,542.95","3,430.82","","1.93%"
"01-05-2024","3,445.17","3,301.50","3,486.26","3,290.58","","4.23%"
"01-04-2024","3,305.30","3,438.75","3,438.80","3,247.60","","-3.85%"
"01-03-2024","3,437.76","3,335.53","3,445.72","3,325.40","","3.01%"
"01-02-2024","3,337.20","3,200.87","3,344.40","3,193.72","","4.11%"
"01-01-2024","3,205.32","3,168.07","3,243.53","3,102.63","","1.14%"
"01-12-2023","3,169.18","3,021.44","3,184.32","3,014.36","","4.81%"
"01-11-2023","3,023.63","2,769.29","3,030.67","2,769.15","","9.21%"
"01-10-2023","2,768.62","2,851.03","2,907.20","2,724.91","","-2.97%"
"01-09-2023","2,853.24","2,985.63","3,008.40","2,822.18","","-4.45%"
"01-08-2023","2,986.02","3,062.21","3,062.68","2,877.12","","-2.55%"
"01-07-2023","3,064.30","2,967.65","3,071.01","2,910.39","","3.29%"
"01-06-2023","2,966.72","2,803.68","2,982.52","2,803.40","","5.93%"
"01-05-2023","2,800.56","2,835.57","2,854.79","2,774.09","","-1.25%"
"01-04-2023","2,835.93","2,788.92","2,843.57","2,768.98","","1.59%"
"01-03-2023","2,791.44","2,712.39","2,791.51","2,612.57","","2.83%"
"01-02-2023","2,714.57","2,785.75","2,854.08","2,693.98","","-2.53%"
"01-01-2023","2,785.00","2,604.53","2,798.64","2,586.24","","7.00%"
"01-12-2022","2,602.69","2,730.07","2,761.16","2,566.48","","-4.34%"
"01-11-2022","2,720.89","2,547.51","2,729.73","2,453.20","","6.80%"
"01-10-2022","2,547.72","2,378.17","2,564.65","2,314.97","","7.11%"
"01-09-2022","2,378.65","2,622.89","2,725.55","2,377.39","","-9.46%"
"01-08-2022","2,627.32","2,747.49","2,854.34","2,625.66","","-4.33%"
"01-07-2022","2,746.36","2,547.89","2,751.69","2,485.67","","7.86%"
"01-06-2022","2,546.19","2,792.01","2,819.58","2,467.27","","-8.77%"
"01-05-2022","2,791.01","2,793.30","2,878.40","2,602.56","","-0.16%"
"01-04-2022","2,795.62","3,050.20","3,086.91","2,791.18","","-8.43%"
"01-03-2022","3,053.07","2,979.74","3,113.02","2,792.22","","2.52%"
"01-02-2022","2,977.95","3,060.64","3,132.49","2,825.07","","-2.65%"
"01-01-2022","3,059.05","3,230.72","3,261.66","2,912.04","","-5.34%"
"01-12-2021","3,231.73","3,106.80","3,251.95","3,067.56","","4.19%"
"01-11-2021","3,101.80","3,175.13","3,242.90","3,101.80","","-2.30%"
"01-10-2021","3,174.73","3,006.75","3,180.72","2,978.07","","5.59%"
"01-09-2021","3,006.60","3,141.95","3,174.13","3,006.60","","-4.29%"
"01-08-2021","3,141.35","3,071.08","3,151.34","3,047.60","","2.35%"
"01-07-2021","3,069.25","3,017.32","3,095.57","2,962.62","","1.72%"
"01-06-2021","3,017.23","2,976.98","3,029.15","2,943.47","","1.40%"
"01-05-2021","2,975.70","2,938.21","2,987.71","2,860.30","","1.26%"
"01-04-2021","2,938.76","2,809.98","2,972.72","2,809.16","","4.52%"
"01-03-2021","2,811.70","2,727.78","2,837.30","2,670.21","","3.11%"
"01-02-2021","2,726.91","2,659.13","2,838.40","2,659.13","","2.45%"
"01-01-2021","2,661.69","2,690.04","2,770.88","2,649.36","","-1.05%"
"01-12-2020","2,690.04","2,581.24","2,699.37","2,581.20","","4.14%"
"01-11-2020","2,583.14","2,293.39","2,603.87","2,293.39","","12.66%"
"01-10-2020","2,292.93","2,367.51","2,484.98","2,276.24","","-3.14%"
"01-09-2020","2,367.27","2,453.75","2,500.32","2,280.83","","-3.59%"
"01-08-2020","2,455.51","2,304.21","2,461.35","2,301.66","","6.53%"
"01-07-2020","2,304.98","2,202.77","2,333.64","2,194.91","","4.69%"
"01-06-2020","2,201.79","2,147.96","2,291.59","2,116.44","","2.51%"
"01-05-2020","2,147.88","2,049.78","2,167.71","1,952.89","","4.63%"
"01-04-2020","2,052.85","1,855.09","2,078.66","1,763.77","","10.80%"
"01-03-2020","1,852.73","2,144.07","2,249.35","1,579.14","","-13.47%"
"01-02-2020","2,141.12","2,342.14","2,434.95","2,087.86","","-8.59%"
"01-01-2020","2,342.41","2,358.25","2,419.06","2,337.97","","-0.68%"
"01-12-2019","2,358.47","2,291.89","2,369.20","2,250.88","","2.89%"
"01-11-2019","2,292.26","2,232.03","2,303.72","2,231.82","","2.63%"
"01-10-2019","2,233.53","2,180.50","2,241.21","2,102.44","","2.45%"
"01-09-2019","2,180.02","2,137.10","2,211.52","2,119.08","","1.94%"
"01-08-2019","2,138.52","2,182.62","2,201.77","2,073.22","","-2.24%"
"01-07-2019","2,187.56","2,177.61","2,220.86","2,172.85","","0.42%"
"01-06-2019","2,178.35","2,046.47","2,186.67","2,039.89","","6.46%"
"01-05-2019","2,046.25","2,179.34","2,185.44","2,042.57","","-6.08%"
"01-04-2019","2,178.67","2,107.35","2,180.33","2,107.27","","3.37%"
"01-03-2019","2,107.74","2,084.72","2,131.84","2,040.69","","1.05%"
"01-02-2019","2,085.84","2,027.35","2,100.65","2,008.01","","2.83%"
"01-01-2019","2,028.49","1,885.41","2,029.69","1,847.89","","7.68%"
"01-12-2018","1,883.90","2,042.05","2,072.60","1,794.00","","-7.71%"
"01-11-2018","2,041.36","2,021.42","2,089.51","1,968.98","","0.96%"
"01-10-2018","2,021.98","2,183.59","2,195.88","1,958.30","","-7.42%"
"01-09-2018","2,184.01","2,172.37","2,203.96","2,131.62","","0.39%"
"01-08-2018","2,175.50","2,153.56","2,193.24","2,106.78","","1.04%"
"01-07-2018","2,153.10","2,089.19","2,168.69","2,069.16","","3.05%"
"01-06-2018","2,089.30","2,092.35","2,149.03","2,066.44","","-0.17%"
"01-05-2018","2,092.92","2,086.09","2,141.59","2,054.08","","0.31%"
"01-04-2018","2,086.51","2,067.54","2,128.01","2,026.15","","0.95%"
"01-03-2018","2,066.85","2,117.37","2,164.33","2,034.08","","-2.41%"
"01-02-2018","2,117.99","2,211.12","2,218.80","2,009.60","","-4.30%"
"01-01-2018","2,213.24","2,102.35","2,249.69","2,102.35","","5.22%"
"01-12-2017","2,103.45","2,074.68","2,112.42","2,056.24","","1.26%"
"01-11-2017","2,077.36","2,036.79","2,079.40","2,016.64","","1.99%"
"01-10-2017","2,036.80","2,000.19","2,038.40","1,997.50","","1.81%"
"01-09-2017","2,000.55","1,961.94","2,000.59","1,948.21","","2.08%"
"01-08-2017","1,959.74","1,962.13","1,974.82","1,925.16","","-0.07%"
"01-07-2017","1,961.10","1,917.50","1,971.25","1,905.25","","2.33%"
"01-06-2017","1,916.43","1,910.96","1,938.69","1,908.09","","0.25%"
"01-05-2017","1,911.74","1,878.91","1,916.21","1,873.03","","1.78%"
