"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2025","2,306.46","2,244.26","2,321.74","2,159.86","","3.42%"
"01-12-2024","2,230.16","2,437.21","2,442.61","2,194.90","","-8.40%"
"01-11-2024","2,434.73","2,202.18","2,466.49","2,200.30","","10.84%"
"01-10-2024","2,196.65","2,223.12","2,289.49","2,170.61","","-1.49%"
"01-09-2024","2,229.97","2,206.41","2,259.25","2,058.68","","0.56%"
"01-08-2024","2,217.63","2,253.50","2,262.73","1,993.27","","-1.63%"
"01-07-2024","2,254.48","2,050.60","2,300.00","2,019.06","","10.10%"
"01-06-2024","2,047.69","2,082.40","2,088.53","1,993.23","","-1.08%"
"01-05-2024","2,070.13","1,973.37","2,112.32","1,968.03","","4.87%"
"01-04-2024","1,973.91","2,125.91","2,126.06","1,931.54","","-7.09%"
"01-03-2024","2,124.55","2,058.48","2,135.46","2,009.81","","3.39%"
"01-02-2024","2,054.84","1,959.58","2,072.97","1,921.36","","5.52%"
"01-01-2024","1,947.34","2,012.75","2,032.49","1,898.24","","-3.93%"
"01-12-2023","2,027.07","1,806.13","2,071.78","1,800.81","","12.05%"
"01-11-2023","1,809.02","1,661.41","1,830.00","1,649.06","","8.83%"
"01-10-2023","1,662.28","1,780.86","1,786.64","1,633.67","","-6.88%"
"01-09-2023","1,785.10","1,908.17","1,926.81","1,761.61","","-6.03%"
"01-08-2023","1,899.68","1,996.89","1,996.89","1,830.84","","-5.17%"
"01-07-2023","2,003.18","1,887.03","2,003.62","1,823.91","","6.06%"
"01-06-2023","1,888.73","1,750.86","1,906.83","1,744.37","","7.95%"
"01-05-2023","1,749.65","1,765.45","1,816.40","1,704.82","","-1.09%"
"01-04-2023","1,768.99","1,804.02","1,812.37","1,725.82","","-1.86%"
"01-03-2023","1,802.48","1,896.14","1,931.71","1,695.23","","-4.98%"
"01-02-2023","1,896.99","1,929.47","2,007.31","1,875.81","","-1.81%"
"01-01-2023","1,931.94","1,769.75","1,931.94","1,737.26","","9.69%"
"01-12-2022","1,761.25","1,891.98","1,898.45","1,722.02","","-6.64%"
"01-11-2022","1,886.58","1,864.95","1,905.84","1,757.45","","2.15%"
