"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2025","3,239.8","3,120.9","3,251.0","3,075.3","","3.81%"
"01-12-2024","3,120.9","3,366.2","3,369.9","3,088.2","","-7.29%"
"01-11-2024","3,366.2","3,098.0","3,414.7","3,098.0","","8.66%"
"01-10-2024","3,098.0","3,121.9","3,204.7","3,067.1","","-0.77%"
"01-09-2024","3,121.9","3,091.5","3,145.5","2,894.5","","0.98%"
"01-08-2024","3,091.5","3,098.1","3,120.8","2,810.2","","-0.21%"
"01-07-2024","3,098.1","2,930.1","3,143.0","2,887.0","","5.73%"
"01-06-2024","2,930.1","2,982.9","3,003.2","2,878.5","","-1.77%"
"01-05-2024","2,982.9","2,861.1","3,045.8","2,852.3","","4.26%"
"01-04-2024","2,861.1","3,046.4","3,047.5","2,818.0","","-6.08%"
"01-03-2024","3,046.4","2,890.7","3,056.5","2,880.6","","5.39%"
"01-02-2024","2,890.7","2,732.2","2,896.7","2,715.3","","5.80%"
"01-01-2024","2,732.2","2,781.5","2,790.6","2,677.8","","-1.77%"
"01-12-2023","2,781.5","2,563.6","2,818.0","2,555.6","","8.50%"
"01-11-2023","2,563.6","2,366.4","2,574.4","2,348.5","","8.33%"
"01-10-2023","2,366.4","2,502.1","2,528.3","2,322.4","","-5.42%"
"01-09-2023","2,502.1","2,645.5","2,675.0","2,467.7","","-5.42%"
"01-08-2023","2,645.5","2,728.4","2,728.4","2,551.4","","-3.04%"
"01-07-2023","2,728.4","2,622.3","2,743.0","2,555.0","","4.05%"
"01-06-2023","2,622.3","2,406.7","2,632.5","2,398.6","","8.96%"
"01-05-2023","2,406.7","2,490.4","2,509.4","2,392.8","","-3.36%"
"01-04-2023","2,490.4","2,512.2","2,524.7","2,426.3","","-0.87%"
"01-03-2023","2,512.2","2,600.8","2,651.7","2,350.0","","-3.41%"
"01-02-2023","2,600.8","2,652.6","2,738.9","2,576.0","","-1.95%"
"01-01-2023","2,652.6","2,430.4","2,652.9","2,401.4","","9.14%"
"01-12-2022","2,430.4","2,577.8","2,598.9","2,378.0","","-5.72%"
"01-11-2022","2,577.8","2,433.1","2,577.8","2,326.4","","5.95%"
"01-10-2022","2,433.1","2,203.5","2,445.8","2,191.7","","10.42%"
"01-09-2022","2,203.5","2,431.1","2,534.4","2,185.9","","-9.36%"
"01-08-2022","2,431.1","2,512.7","2,646.0","2,427.6","","-3.25%"
"01-07-2022","2,512.7","2,268.9","2,520.0","2,228.3","","10.75%"
"01-06-2022","2,268.9","2,514.8","2,567.8","2,187.4","","-9.78%"
"01-05-2022","2,514.8","2,500.3","2,612.6","2,326.2","","0.58%"
"01-04-2022","2,500.3","2,693.7","2,729.0","2,497.4","","-7.18%"
"01-03-2022","2,693.7","2,661.5","2,780.9","2,506.2","","1.21%"
"01-02-2022","2,661.5","2,635.4","2,745.7","2,484.0","","0.99%"
"01-01-2022","2,635.4","2,842.0","2,877.4","2,497.7","","-7.27%"
"01-12-2021","2,842.0","2,708.6","2,864.7","2,645.6","","4.92%"
"01-11-2021","2,708.6","2,794.1","2,925.9","2,703.4","","-3.06%"
"01-10-2021","2,794.1","2,640.5","2,820.5","2,622.4","","5.82%"
"01-09-2021","2,640.5","2,753.2","2,780.4","2,602.3","","-4.09%"
"01-08-2021","2,753.2","2,703.7","2,775.7","2,630.5","","1.83%"
"01-07-2021","2,703.7","2,696.1","2,726.1","2,550.6","","0.28%"
"01-06-2021","2,696.1","2,727.4","2,755.6","2,610.8","","-1.15%"
"01-05-2021","2,727.4","2,725.1","2,780.1","2,627.2","","0.08%"
"01-04-2021","2,725.1","2,609.2","2,778.8","2,609.2","","4.44%"
"01-03-2021","2,609.2","2,496.3","2,682.9","2,406.2","","4.53%"
"01-02-2021","2,496.3","2,340.1","2,581.0","2,340.1","","6.67%"
"01-01-2021","2,340.1","2,306.6","2,482.6","2,252.3","","1.45%"
"01-12-2020","2,306.6","2,168.5","2,334.5","2,168.5","","6.37%"
"01-11-2020","2,168.5","1,900.2","2,223.5","1,900.2","","14.12%"
"01-10-2020","1,900.2","1,861.3","2,021.2","1,848.7","","2.09%"
"01-09-2020","1,861.3","1,922.9","1,970.4","1,769.1","","-3.39%"
"01-08-2020","1,926.5","1,872.9","1,975.5","1,865.2","","3.36%"
"01-07-2020","1,863.9","1,785.7","1,892.2","1,727.8","","4.53%"
"01-06-2020","1,783.2","1,766.9","1,946.2","1,700.3","","1.09%"
"01-05-2020","1,763.9","1,606.8","1,815.2","1,493.0","","7.14%"
"01-04-2020","1,646.4","1,379.8","1,709.5","1,322.8","","14.06%"
"01-03-2020","1,443.4","1,824.9","1,907.2","1,182.0","","-20.43%"
"01-02-2020","1,814.0","2,014.8","2,109.4","1,771.7","","-9.63%"
"01-01-2020","2,007.2","2,063.0","2,106.3","2,002.3","","-2.70%"
"01-12-2019","2,063.0","2,012.9","2,071.7","1,969.2","","2.63%"
"01-11-2019","2,010.2","1,965.7","2,031.0","1,965.7","","2.80%"
"01-10-2019","1,955.4","1,943.2","1,980.5","1,850.8","","1.03%"
"01-09-2019","1,935.5","1,869.4","1,976.2","1,848.5","","2.89%"
"01-08-2019","1,881.2","1,965.6","1,977.2","1,825.4","","-4.35%"
"01-07-2019","1,966.7","1,966.3","1,991.5","1,931.7","","1.09%"
"01-06-2019","1,945.5","1,813.4","1,947.9","1,811.7","","7.46%"
"01-05-2019","1,810.5","1,972.2","1,981.6","1,802.6","","-8.13%"
"01-04-2019","1,970.7","1,908.2","1,984.7","1,907.6","","3.93%"
"01-03-2019","1,896.3","1,922.4","1,930.8","1,842.6","","-0.74%"
