"Date","Price","Open","High","Low","Change %"
"01/01/2025","4.844","4.786","5.003","4.734","1.21%"
"12/01/2024","4.786","4.392","4.827","4.303","9.67%"
"11/01/2024","4.365","4.479","4.678","4.335","-2.37%"
"10/01/2024","4.471","4.115","4.583","4.033","8.43%"
"09/01/2024","4.123","4.219","4.223","3.898","-1.85%"
"08/01/2024","4.201","4.327","4.336","3.999","-2.43%"
"07/01/2024","4.306","4.579","4.655","4.304","-5.45%"
"06/01/2024","4.554","4.642","4.645","4.332","-2.08%"
"05/01/2024","4.650","4.784","4.800","4.467","-2.80%"
"04/01/2024","4.784","4.346","4.846","4.345","9.99%"
"03/01/2024","4.349","4.384","4.490","4.190","-0.74%"
"02/01/2024","4.382","4.183","4.506","4.065","5.00%"
"01/01/2024","4.173","4.057","4.422","4.023","3.83%"
"12/01/2023","4.019","4.492","4.520","3.940","-10.63%"
"11/01/2023","4.497","5.089","5.097","4.428","-11.65%"
"10/01/2023","5.090","4.733","5.179","4.670","8.09%"
"09/01/2023","4.709","4.218","4.808","4.200","11.87%"
"08/01/2023","4.209","4.012","4.474","4.007","4.85%"
"07/01/2023","4.014","3.866","4.086","3.812","3.89%"
"06/01/2023","3.864","3.857","3.980","3.768","0.12%"
"05/01/2023","3.859","3.690","4.009","3.626","4.81%"
"04/01/2023","3.682","3.700","3.833","3.527","0.86%"
"03/01/2023","3.651","3.928","4.047","3.526","-6.95%"
"02/01/2023","3.924","3.640","3.987","3.498","7.92%"
"01/01/2023","3.635","3.945","3.983","3.490","-8.53%"
"12/01/2022","3.975","3.755","3.990","3.406","6.13%"
"11/01/2022","3.745","4.179","4.349","3.685","-10.03%"
"10/01/2022","4.163","3.768","4.425","3.634","10.11%"
"09/01/2022","3.781","3.301","3.905","3.296","14.58%"
"08/01/2022","3.299","3.024","3.330","2.855","9.54%"
"07/01/2022","3.012","3.195","3.278","2.951","-5.41%"
"06/01/2022","3.184","3.060","3.494","3.030","4.21%"
"05/01/2022","3.056","3.000","3.309","2.924","1.99%"
"04/01/2022","2.996","2.460","3.032","2.415","22.15%"
"03/01/2022","2.453","2.176","2.645","2.069","13.61%"
"02/01/2022","2.159","2.116","2.388","2.061","2.05%"
"01/01/2022","2.116","1.903","2.216","1.902","11.04%"
"12/01/2021","1.905","1.819","1.971","1.667","5.70%"
"11/01/2021","1.803","1.952","2.049","1.776","-7.04%"
"10/01/2021","1.939","2.063","2.177","1.923","-5.41%"
"09/01/2021","2.050","1.936","2.110","1.809","6.34%"
"08/01/2021","1.928","1.908","2.037","1.810","1.73%"
"07/01/2021","1.895","2.091","2.106","1.780","-9.27%"
"06/01/2021","2.088","2.291","2.330","1.929","-7.72%"
"05/01/2021","2.263","2.298","2.424","2.158","-1.52%"
"04/01/2021","2.298","2.410","2.426","2.207","-4.85%"
