"Date","Price","Open","High","Low","Change %"
"01/01/2025","4.315","4.332","4.389","4.296","-0.41%"
"12/01/2024","4.332","4.504","4.529","4.283","-3.47%"
"11/01/2024","4.488","4.604","4.618","4.488","-1.29%"
"10/01/2024","4.547","4.634","4.727","4.550","-1.65%"
"09/01/2024","4.623","5.169","5.169","4.615","-9.40%"
"08/01/2024","5.103","5.310","5.341","5.103","-3.35%"
"07/01/2024","5.280","5.384","5.430","5.287","-1.55%"
"06/01/2024","5.363","5.424","5.473","5.354","-0.52%"
"05/01/2024","5.391","5.433","5.516","5.396","-0.11%"
"04/01/2024","5.397","5.375","5.533","5.357","0.69%"
"03/01/2024","5.360","5.419","5.549","5.371","-0.24%"
"02/01/2024","5.373","5.396","5.500","5.364","0.15%"
"01/01/2024","5.365","5.395","5.500","5.352","0.26%"
"12/01/2023","5.351","5.416","5.503","5.345","-0.96%"
"11/01/2023","5.403","5.495","5.518","5.398","-1.55%"
"10/01/2023","5.488","5.469","5.570","5.456","0.20%"
"09/01/2023","5.477","5.477","5.558","5.430","-0.04%"
"08/01/2023","5.479","5.430","5.537","5.405","1.01%"
"07/01/2023","5.424","5.349","5.517","5.311","1.90%"
"06/01/2023","5.323","5.472","5.586","5.218","-1.74%"
"05/01/2023","5.417","5.095","5.550","5.019","6.13%"
"04/01/2023","5.104","4.810","5.318","4.723","6.29%"
"03/01/2023","4.802","4.865","5.061","4.418","-1.13%"
"02/01/2023","4.857","4.717","4.897","4.620","3.49%"
"01/01/2023","4.693","4.404","4.926","4.363","6.54%"
"12/01/2022","4.405","4.405","4.498","4.258","0.94%"
"11/01/2022","4.364","4.219","4.429","4.079","6.70%"
"10/01/2022","4.090","3.303","4.152","3.241","24.58%"
"09/01/2022","3.283","2.967","3.395","2.904","12.01%"
"08/01/2022","2.931","2.424","3.024","2.347","23.51%"
"07/01/2022","2.373","1.711","2.605","1.667","39.59%"
"06/01/2022","1.700","1.169","1.874","1.123","59.33%"
"05/01/2022","1.067","0.894","1.108","0.797","26.87%"
"04/01/2022","0.841","0.533","0.938","0.520","61.73%"
